TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
110;0.00;1.73;3.46;5.17;6.88;8.12;9.13;10.13;11.13;11.63;12.12;12.63;13.24;13.91;14.58;15.42;16.26;16.89;17.52;18.09;18.65;19.01;19.37;19.65;19.93;20.28;20.51;20.74;20.98;21.22;21.46;21.72;21.98;22.12;22.26;22.41;22.17;21.94;21.71;21.47;21.24;21.05;20.86;20.67;20.48;20.29;20.09;19.90;19.71;19.52;19.33;19.11;18.88;18.66;18.44;18.22;18.00;17.78;17.56;17.33;17.11;16.40;15.68;14.97;14.26;13.54;12.83;12.11;11.40;10.68;9.97
115;0.00;1.70;3.39;5.09;6.79;8.07;9.01;10.02;11.03;11.54;12.04;12.54;13.14;13.91;14.69;15.47;16.26;16.88;17.49;18.02;18.55;19.00;19.44;19.77;20.10;20.48;20.71;21.03;21.35;21.62;21.89;22.18;22.51;22.72;22.93;23.14;23.02;22.90;22.79;22.67;22.55;22.29;22.03;21.77;21.51;21.25;20.99;20.73;20.47;20.21;19.95;19.72;19.49;19.26;19.04;18.81;18.58;18.35;18.12;17.89;17.66;16.92;16.18;15.44;14.70;13.96;13.22;12.47;11.73;10.99;10.25
120;0.00;1.64;3.28;4.93;6.58;7.88;8.90;9.92;10.94;11.54;12.14;12.55;13.15;13.92;14.69;15.47;16.26;16.87;17.48;17.96;18.44;19.00;19.55;19.86;20.17;20.58;20.99;21.34;21.70;22.05;22.40;22.75;23.11;23.35;23.61;23.87;23.75;23.62;23.50;23.38;23.25;22.98;22.71;22.45;22.18;21.91;21.64;21.38;21.11;20.84;20.57;20.34;20.10;19.86;19.63;19.39;19.15;18.92;18.68;18.44;18.20;17.44;16.68;15.91;15.15;14.38;13.62;12.85;12.09;11.33;10.56
125;0.00;1.57;3.14;4.71;6.28;7.59;8.61;9.62;10.63;11.29;11.96;12.51;13.17;14.04;14.92;15.58;16.26;16.83;17.40;17.92;18.44;18.99;19.54;19.91;20.28;20.79;21.20;21.60;22.01;22.42;22.82;23.23;23.63;23.86;24.09;24.38;24.28;24.17;24.07;23.96;23.85;23.58;23.30;23.03;22.75;22.48;22.20;21.93;21.65;21.38;21.10;20.86;20.62;20.37;20.13;19.88;19.64;19.40;19.15;18.91;18.67;17.88;17.10;16.32;15.53;14.75;13.97;13.18;12.40;11.62;10.83
130;0.00;1.51;3.02;4.50;5.98;7.29;8.31;9.32;10.33;10.99;11.65;12.31;13.08;13.92;14.77;15.59;16.43;16.96;17.48;17.92;18.54;19.07;19.61;20.04;20.47;20.89;21.41;21.86;22.32;22.78;23.23;23.64;24.04;24.34;24.64;25.00;24.89;24.78;24.67;24.56;24.44;24.16;23.88;23.60;23.32;23.04;22.76;22.48;22.20;21.92;21.64;21.38;21.13;20.88;20.63;20.38;20.13;19.88;19.63;19.38;19.13;18.33;17.52;16.72;15.92;15.12;14.31;13.51;12.71;11.91;11.10
135;0.00;1.39;2.79;4.16;5.53;6.79;7.77;8.74;9.72;10.43;11.14;11.80;12.56;13.43;14.32;15.21;16.12;16.64;17.17;17.74;18.60;19.13;19.66;20.17;20.69;21.21;21.72;22.12;22.52;22.98;23.44;24.00;24.56;24.96;25.37;25.78;25.67;25.56;25.47;25.41;25.35;25.05;24.76;24.47;24.18;23.89;23.60;23.30;23.01;22.72;22.43;22.17;21.91;21.65;21.39;21.13;20.87;20.62;20.36;20.10;19.84;19.01;18.17;17.34;16.51;15.68;14.84;14.01;13.18;12.35;11.51
140;0.00;1.26;2.53;3.80;5.07;6.28;7.21;8.14;9.08;9.85;10.63;11.24;11.95;12.76;13.59;14.52;15.46;16.11;16.75;17.43;18.35;18.99;19.63;20.25;20.86;21.37;22.00;22.36;22.73;23.35;23.97;24.54;25.11;25.63;26.14;26.66;26.56;26.45;26.34;26.23;26.12;25.81;25.50;25.19;24.89;24.58;24.27;23.96;23.66;23.35;23.04;22.79;22.54;22.30;22.05;21.80;21.55;21.31;21.06;20.81;20.56;19.69;18.81;17.94;17.06;16.19;15.31;14.44;13.57;12.69;11.82
145;0.00;1.13;2.27;3.42;4.56;5.57;6.51;7.46;8.41;9.17;9.93;10.54;11.23;11.94;12.65;13.53;14.43;15.12;15.80;16.55;17.54;18.38;19.21;19.93;20.65;21.48;22.18;22.66;23.14;23.71;24.28;24.75;25.21;25.63;26.04;26.45;26.40;26.33;26.27;26.21;26.14;25.84;25.54;25.24;24.94;24.63;24.33;24.03;23.73;23.43;23.13;22.86;22.60;22.33;22.06;21.80;21.53;21.26;21.00;20.73;20.46;19.60;18.74;17.89;17.03;16.17;15.31;14.45;13.59;12.73;11.88
150;0.00;1.01;2.03;3.04;4.05;5.07;5.98;6.89;7.80;8.56;9.32;9.93;10.62;11.27;11.92;12.65;13.38;14.17;14.96;15.67;16.61;17.48;18.35;19.21;20.08;21.19;22.10;22.57;23.04;23.65;24.25;24.79;25.32;25.63;25.94;26.26;26.20;26.14;26.08;26.01;25.95;25.65;25.35;25.05;24.75;24.45;24.15;23.86;23.56;23.26;22.96;22.69;22.43;22.16;21.90;21.64;21.37;21.11;20.84;20.58;20.31;19.46;18.61;17.75;16.90;16.05;15.20;14.34;13.49;12.64;11.79
155;0.00;0.91;1.83;2.75;3.68;4.50;5.37;6.23;7.09;7.80;8.51;9.16;9.90;10.55;11.21;11.87;12.54;13.22;13.91;14.42;15.15;16.03;16.91;17.84;18.78;19.99;20.76;21.32;21.89;22.62;23.35;24.02;24.69;25.07;25.45;25.83;25.77;25.72;25.66;25.60;25.54;25.11;24.83;24.55;24.28;24.00;23.72;23.44;23.16;22.89;22.61;22.35;22.09;21.83;21.57;21.30;21.04;20.78;20.52;20.26;20.00;19.16;18.32;17.48;16.64;15.80;14.96;14.12;13.28;12.44;11.61
160;0.00;0.81;1.63;2.50;3.38;4.14;4.92;5.70;6.48;7.19;7.90;8.56;9.29;9.93;10.58;11.24;11.90;12.48;13.06;13.38;13.91;14.78;15.66;16.56;17.46;18.52;19.35;19.98;20.61;21.31;22.00;22.99;23.97;24.45;24.94;25.42;25.37;25.32;25.26;25.21;25.15;24.59;24.08;23.85;23.62;23.39;23.16;22.93;22.70;22.48;22.25;21.99;21.73;21.48;21.22;20.96;20.71;20.45;20.19;19.94;19.68;18.85;18.02;17.19;16.36;15.53;14.70;13.87;13.04;12.21;11.38
165;0.00;0.76;1.53;2.34;3.15;3.85;4.63;5.40;6.18;6.89;7.59;8.21;8.85;9.45;10.05;10.65;11.26;11.76;12.25;12.55;13.04;13.85;14.65;15.42;16.19;17.23;18.02;18.63;19.23;20.00;20.76;21.67;22.59;23.06;23.54;24.01;24.04;24.07;24.09;24.12;24.14;23.61;23.08;22.55;22.21;22.05;21.88;21.72;21.56;21.40;21.23;21.00;20.77;20.53;20.30;20.07;19.83;19.60;19.36;19.13;18.90;18.10;17.31;16.52;15.72;14.93;14.14;13.34;12.55;11.76;10.96
170;0.00;0.72;1.44;2.23;3.01;3.69;4.45;5.22;5.98;6.69;7.39;7.96;8.53;9.07;9.62;10.13;10.63;11.14;11.65;11.92;12.36;13.09;13.83;14.60;15.37;16.16;16.86;17.56;18.26;18.95;19.65;20.55;21.44;21.88;22.31;22.74;22.86;22.98;23.11;23.23;23.35;22.84;22.32;21.81;21.30;20.78;20.57;20.47;20.37;20.27;20.17;19.98;19.79;19.60;19.41;19.22;19.03;18.84;18.65;18.46;18.28;17.51;16.74;15.97;15.21;14.44;13.67;12.90;12.14;11.37;10.60
175;0.00;0.71;1.42;2.18;2.94;3.65;4.38;5.11;5.84;6.51;7.19;7.75;8.31;8.85;9.39;9.91;10.43;10.89;11.34;11.66;12.15;12.85;13.56;14.31;15.07;15.77;16.46;17.16;17.86;18.51;19.16;20.06;20.95;21.38;21.82;22.25;22.37;22.49;22.61;22.73;22.85;22.35;21.84;21.34;20.83;20.33;19.83;19.32;19.23;19.18;19.14;19.00;18.87;18.73;18.60;18.46;18.33;18.19;18.05;17.92;17.78;17.04;16.30;15.56;14.82;14.08;13.34;12.60;11.86;11.12;10.38
180;0.00;0.71;1.41;2.17;2.93;3.65;4.36;5.07;5.78;6.43;7.09;7.65;8.21;8.71;9.22;9.72;10.23;10.69;11.14;11.47;11.98;12.67;13.37;14.07;14.76;15.47;16.16;16.86;17.55;18.20;18.86;19.75;20.65;21.05;21.45;21.86;21.97;22.09;22.21;22.33;22.45;21.95;21.46;20.97;20.47;19.98;19.49;18.99;18.50;18.01;18.01;17.93;17.84;17.76;17.67;17.58;17.50;17.41;17.32;17.24;17.15;16.46;15.76;15.07;14.37;13.68;12.98;12.29;11.59;10.90;10.20
